STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO,SMALL,MEDIUM,Total,Last_Updated
ARUNACHAL PRADESH,238,TAWANG,41,2,0,43,23-04-2022
ARUNACHAL PRADESH,239,TIRAP,38,1,0,39,23-04-2022
ARUNACHAL PRADESH,240,UPPER SIANG,19,1,0,20,23-04-2022
ARUNACHAL PRADESH,241,UPPER SUBANSIRI,37,3,0,40,23-04-2022
ARUNACHAL PRADESH,242,WEST KAMENG,116,5,0,121,23-04-2022
ARUNACHAL PRADESH,243,WEST SIANG,45,3,0,48,23-04-2022
ASSAM,739,BAJALI,40,1,0,41,23-04-2022
ASSAM,616,BAKSA,924,9,1,934,23-04-2022
ASSAM,280,BARPETA,2135,62,4,2201,23-04-2022
ASSAM,705,Biswanath,844,21,0,865,23-04-2022
ASSAM,281,BONGAIGAON,1092,52,4,1148,23-04-2022
ASSAM,282,CACHAR,3343,135,7,3485,23-04-2022
ASSAM,708,CHARAIDEO,364,10,0,374,23-04-2022
ASSAM,612,CHIRANG,654,16,4,674,23-04-2022
ASSAM,283,DARRANG,4761,55,0,4816,23-04-2022
ASSAM,284,DHEMAJI,1634,26,1,1661,23-04-2022
ASSAM,285,DHUBRI,1422,43,2,1467,23-04-2022
ASSAM,286,DIBRUGARH,3129,163,4,3296,23-04-2022
ASSAM,299,DIMA HASAO,192,0,0,192,23-04-2022
ASSAM,287,GOALPARA,1119,35,2,1156,23-04-2022
ASSAM,288,GOLAGHAT,2183,54,1,2238,23-04-2022
ASSAM,289,HAILAKANDI,855,13,0,868,23-04-2022
ASSAM,709,HOJAI,843,31,1,875,23-04-2022
ASSAM,290,JORHAT,1941,141,7,2089,23-04-2022
ASSAM,291,KAMRUP,3138,100,13,3251,23-04-2022
ASSAM,618,KAMRUP METRO,8639,1139,130,9908,23-04-2022
ASSAM,292,KARBI-ANGELONG,823,15,0,838,23-04-2022
ASSAM,293,KARIMGANJ,1544,50,1,1595,23-04-2022
ASSAM,294,KOKRAJHAR,724,24,0,748,23-04-2022
ASSAM,295,LAKHIMPUR,1719,48,3,1770,23-04-2022
ASSAM,706,MAJULI,196,2,0,198,23-04-2022
ASSAM,296,MARIGAON,1355,15,1,1371,23-04-2022
ASSAM,297,NAGAON,2480,84,4,2568,23-04-2022
ASSAM,298,NALBARI,1264,33,1,1298,23-04-2022
ASSAM,300,SIVASAGAR,1380,87,5,1472,23-04-2022
ASSAM,301,SONITPUR,2167,72,12,2251,23-04-2022
ASSAM,707,SOUTH SALMARA MANCACHAR,121,2,0,123,23-04-2022
ASSAM,302,TINSUKIA,2644,127,9,2780,23-04-2022
ASSAM,617,UDALGURI,910,15,0,925,23-04-2022
ASSAM,710,WEST KARBI ANGLONG,152,0,0,152,23-04-2022
